GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC05_MOE_VC06,Renter-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - American Indian and Alaska Native
HC06_EST_VC06,Percent renter-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - American Indian and Alaska Native
HC06_MOE_VC06,Percent renter-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - American Indian and Alaska Native
HC01_EST_VC07,Occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Asian
HC01_MOE_VC07,Occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Asian
HC02_EST_VC07,Percent occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Asian
HC02_MOE_VC07,Percent occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Asian
HC03_EST_VC07,Owner-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Asian
HC03_MOE_VC07,Owner-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Asian
HC04_EST_VC07,Percent owner-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Asian
HC04_MOE_VC07,Percent owner-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Asian
HC05_EST_VC07,Renter-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Asian
HC05_MOE_VC07,Renter-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Asian
HC06_EST_VC07,Percent renter-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Asian
HC06_MOE_VC07,Percent renter-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Asian
HC01_EST_VC08,Occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Native Hawaiian and Other Pacific Islander
HC01_MOE_VC08,Occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Native Hawaiian and Other Pacific Islander
HC02_EST_VC08,Percent occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Native Hawaiian and Other Pacific Islander
HC02_MOE_VC08,Percent occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Native Hawaiian and Other Pacific Islander
HC03_EST_VC08,Owner-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Native Hawaiian and Other Pacific Islander
HC03_MOE_VC08,Owner-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Native Hawaiian and Other Pacific Islander
HC04_EST_VC08,Percent owner-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Native Hawaiian and Other Pacific Islander
HC04_MOE_VC08,Percent owner-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Native Hawaiian and Other Pacific Islander
HC05_EST_VC08,Renter-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Native Hawaiian and Other Pacific Islander
HC05_MOE_VC08,Renter-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Native Hawaiian and Other Pacific Islander
HC06_EST_VC08,Percent renter-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Native Hawaiian and Other Pacific Islander
HC06_MOE_VC08,Percent renter-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Native Hawaiian and Other Pacific Islander
HC01_EST_VC09,Occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Some other race
HC01_MOE_VC09,Occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Some other race
HC02_EST_VC09,Percent occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Some other race
HC02_MOE_VC09,Percent occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Some other race
HC03_EST_VC09,Owner-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Some other race
HC03_MOE_VC09,Owner-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Some other race
HC04_EST_VC09,Percent owner-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Some other race
HC04_MOE_VC09,Percent owner-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Some other race
HC05_EST_VC09,Renter-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Some other race
HC05_MOE_VC09,Renter-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Some other race
HC06_EST_VC09,Percent renter-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Some other race
HC06_MOE_VC09,Percent renter-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race -- - Some other race
HC01_EST_VC10,Occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races
HC01_MOE_VC10,Occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races
HC02_EST_VC10,Percent occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races
HC02_MOE_VC10,Percent occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races
HC03_EST_VC10,Owner-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races
HC03_MOE_VC10,Owner-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races
HC04_EST_VC10,Percent owner-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races
HC04_MOE_VC10,Percent owner-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races
HC05_EST_VC10,Renter-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races
HC05_MOE_VC10,Renter-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races
HC06_EST_VC10,Percent renter-occupied housing units; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races
HC06_MOE_VC10,Percent renter-occupied housing units; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races
HC01_EST_VC12,Occupied housing units; Estimate; Hispanic or Latino origin
HC01_MOE_VC12,Occupied housing units; Margin of Error; Hispanic or Latino origin
HC02_EST_VC12,Percent occupied housing units; Estimate; Hispanic or Latino origin
HC02_MOE_VC12,Percent occupied housing units; Margin of Error; Hispanic or Latino origin
HC03_EST_VC12,Owner-occupied housing units; Estimate; Hispanic or Latino origin
HC03_MOE_VC12,Owner-occupied housing units; Margin of Error; Hispanic or Latino origin
HC04_EST_VC12,Percent owner-occupied housing units; Estimate; Hispanic or Latino origin
HC04_MOE_VC12,Percent owner-occupied housing units; Margin of Error; Hispanic or Latino origin
HC05_EST_VC12,Renter-occupied housing units; Estimate; Hispanic or Latino origin
HC05_MOE_VC12,Renter-occupied housing units; Margin of Error; Hispanic or Latino origin
HC06_EST_VC12,Percent renter-occupied housing units; Estimate; Hispanic or Latino origin
HC06_MOE_VC12,Percent renter-occupied housing units; Margin of Error; Hispanic or Latino origin
HC01_EST_VC13,"Occupied housing units; Estimate; White alone, not Hispanic or Latino"
HC01_MOE_VC13,"Occupied housing units; Margin of Error; White alone, not Hispanic or Latino"
HC02_EST_VC13,"Percent occupied housing units; Estimate; White alone, not Hispanic or Latino"
HC02_MOE_VC13,"Percent occupied housing units; Margin of Error; White alone, not Hispanic or Latino"
HC03_EST_VC13,"Owner-occupied housing units; Estimate; White alone, not Hispanic or Latino"
HC03_MOE_VC13,"Owner-occupied housing units; Margin of Error; White alone, not Hispanic or Latino"
HC04_EST_VC13,"Percent owner-occupied housing units; Estimate; White alone, not Hispanic or Latino"
HC04_MOE_VC13,"Percent owner-occupied housing units; Margin of Error; White alone, not Hispanic or Latino"
HC05_EST_VC13,"Renter-occupied housing units; Estimate; White alone, not Hispanic or Latino"
HC05_MOE_VC13,"Renter-occupied housing units; Margin of Error; White alone, not Hispanic or Latino"
HC06_EST_VC13,"Percent renter-occupied housing units; Estimate; White alone, not Hispanic or Latino"
HC06_MOE_VC13,"Percent renter-occupied housing units; Margin of Error; White alone, not Hispanic or Latino"
HC01_EST_VC16,Occupied housing units; Estimate; AGE OF HOUSEHOLDER - Under 35 years
HC01_MOE_VC16,Occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - Under 35 years
HC02_EST_VC16,Percent occupied housing units; Estimate; AGE OF HOUSEHOLDER - Under 35 years
HC02_MOE_VC16,Percent occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - Under 35 years
HC03_EST_VC16,Owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - Under 35 years
HC03_MOE_VC16,Owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - Under 35 years
HC04_EST_VC16,Percent owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - Under 35 years
HC04_MOE_VC16,Percent owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - Under 35 years
HC05_EST_VC16,Renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - Under 35 years
HC05_MOE_VC16,Renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - Under 35 years
HC06_EST_VC16,Percent renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - Under 35 years
HC06_MOE_VC16,Percent renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - Under 35 years
HC01_EST_VC17,Occupied housing units; Estimate; AGE OF HOUSEHOLDER - 35 to 44 years
HC01_MOE_VC17,Occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 35 to 44 years
HC02_EST_VC17,Percent occupied housing units; Estimate; AGE OF HOUSEHOLDER - 35 to 44 years
HC02_MOE_VC17,Percent occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 35 to 44 years
HC03_EST_VC17,Owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 35 to 44 years
HC03_MOE_VC17,Owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 35 to 44 years
HC04_EST_VC17,Percent owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 35 to 44 years
HC04_MOE_VC17,Percent owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 35 to 44 years
HC05_EST_VC17,Renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 35 to 44 years
HC05_MOE_VC17,Renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 35 to 44 years
HC06_EST_VC17,Percent renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 35 to 44 years
HC06_MOE_VC17,Percent renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 35 to 44 years
HC01_EST_VC18,Occupied housing units; Estimate; AGE OF HOUSEHOLDER - 45 to 54 years
HC01_MOE_VC18,Occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 45 to 54 years
HC02_EST_VC18,Percent occupied housing units; Estimate; AGE OF HOUSEHOLDER - 45 to 54 years
HC02_MOE_VC18,Percent occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 45 to 54 years
HC03_EST_VC18,Owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 45 to 54 years
HC03_MOE_VC18,Owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 45 to 54 years
HC04_EST_VC18,Percent owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 45 to 54 years
HC04_MOE_VC18,Percent owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 45 to 54 years
HC05_EST_VC18,Renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 45 to 54 years
HC05_MOE_VC18,Renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 45 to 54 years
HC06_EST_VC18,Percent renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 45 to 54 years
HC06_MOE_VC18,Percent renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 45 to 54 years
HC01_EST_VC19,Occupied housing units; Estimate; AGE OF HOUSEHOLDER - 55 to 64 years
HC01_MOE_VC19,Occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 55 to 64 years
HC02_EST_VC19,Percent occupied housing units; Estimate; AGE OF HOUSEHOLDER - 55 to 64 years
HC02_MOE_VC19,Percent occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 55 to 64 years
HC03_EST_VC19,Owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 55 to 64 years
HC03_MOE_VC19,Owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 55 to 64 years
HC04_EST_VC19,Percent owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 55 to 64 years
HC04_MOE_VC19,Percent owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 55 to 64 years
HC05_EST_VC19,Renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 55 to 64 years
HC05_MOE_VC19,Renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 55 to 64 years
HC06_EST_VC19,Percent renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 55 to 64 years
HC06_MOE_VC19,Percent renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 55 to 64 years
HC01_EST_VC20,Occupied housing units; Estimate; AGE OF HOUSEHOLDER - 65 to 74 years
HC01_MOE_VC20,Occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 65 to 74 years
HC02_EST_VC20,Percent occupied housing units; Estimate; AGE OF HOUSEHOLDER - 65 to 74 years
HC02_MOE_VC20,Percent occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 65 to 74 years
HC03_EST_VC20,Owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 65 to 74 years
HC03_MOE_VC20,Owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 65 to 74 years
HC04_EST_VC20,Percent owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 65 to 74 years
HC04_MOE_VC20,Percent owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 65 to 74 years
HC05_EST_VC20,Renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 65 to 74 years
HC05_MOE_VC20,Renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 65 to 74 years
HC06_EST_VC20,Percent renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 65 to 74 years
HC06_MOE_VC20,Percent renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 65 to 74 years
HC01_EST_VC21,Occupied housing units; Estimate; AGE OF HOUSEHOLDER - 75 to 84 years
HC01_MOE_VC21,Occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 75 to 84 years
HC02_EST_VC21,Percent occupied housing units; Estimate; AGE OF HOUSEHOLDER - 75 to 84 years
HC02_MOE_VC21,Percent occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 75 to 84 years
HC03_EST_VC21,Owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 75 to 84 years
HC03_MOE_VC21,Owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 75 to 84 years
HC04_EST_VC21,Percent owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 75 to 84 years
HC04_MOE_VC21,Percent owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 75 to 84 years
HC05_EST_VC21,Renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 75 to 84 years
HC05_MOE_VC21,Renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 75 to 84 years
HC06_EST_VC21,Percent renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 75 to 84 years
HC06_MOE_VC21,Percent renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 75 to 84 years
HC01_EST_VC22,Occupied housing units; Estimate; AGE OF HOUSEHOLDER - 85 years and over
HC01_MOE_VC22,Occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 85 years and over
HC02_EST_VC22,Percent occupied housing units; Estimate; AGE OF HOUSEHOLDER - 85 years and over
HC02_MOE_VC22,Percent occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 85 years and over
HC03_EST_VC22,Owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 85 years and over
HC03_MOE_VC22,Owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 85 years and over
HC04_EST_VC22,Percent owner-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 85 years and over
HC04_MOE_VC22,Percent owner-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 85 years and over
HC05_EST_VC22,Renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 85 years and over
HC05_MOE_VC22,Renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 85 years and over
HC06_EST_VC22,Percent renter-occupied housing units; Estimate; AGE OF HOUSEHOLDER - 85 years and over
HC06_MOE_VC22,Percent renter-occupied housing units; Margin of Error; AGE OF HOUSEHOLDER - 85 years and over
HC01_EST_VC25,Occupied housing units; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
HC01_MOE_VC25,Occupied housing units; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
HC02_EST_VC25,Percent occupied housing units; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
HC02_MOE_VC25,Percent occupied housing units; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
HC03_EST_VC25,Owner-occupied housing units; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
HC03_MOE_VC25,Owner-occupied housing units; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
HC04_EST_VC25,Percent owner-occupied housing units; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
HC04_MOE_VC25,Percent owner-occupied housing units; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
HC05_EST_VC25,Renter-occupied housing units; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
HC05_MOE_VC25,Renter-occupied housing units; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
HC06_EST_VC25,Percent renter-occupied housing units; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
HC06_MOE_VC25,Percent renter-occupied housing units; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
HC01_EST_VC26,Occupied housing units; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - High school graduate (includes equivalency)
HC01_MOE_VC26,Occupied housing units; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - High school graduate (includes equivalency)
HC02_EST_VC26,Percent occupied housing units; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - High school graduate (includes equivalency)
HC02_MOE_VC26,Percent occupied housing units; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - High school graduate (includes equivalency)
HC03_EST_VC26,Owner-occupied housing units; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - High school graduate (includes equivalency)
HC03_MOE_VC26,Owner-occupied housing units; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - High school graduate (includes equivalency)
HC04_EST_VC26,Percent owner-occupied housing units; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - High school graduate (includes equivalency)
HC04_MOE_VC26,Percent owner-occupied housing units; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - High school graduate (includes equivalency)
HC05_EST_VC26,Renter-occupied housing units; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - High school graduate (includes equivalency)
HC05_MOE_VC26,Renter-occupied housing units; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - High school graduate (includes equivalency)
